word_or_prompt,male,female,multiple_people,green,blue,black/white,red,yellow,no_color,mixed_color,static,moving,thrown,mixed_motion,offscreen_help,smile,oxytocin,laying,sitting,crouching,standing,one_leg,jumping,handstand,mixed_poses,literal_prop,prop_descriptor_tag,pos_connotation,neg_connotation,ambigous_connotation,shoot_id,photo_id
after,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,network,TRUE,,,cb_stanford,cb_stanford_10
after,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_12
after,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,TRUE,superhero cape,TRUE,,,cb_stanford,cb_stanford_14
after,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,,TRUE,,,cb_stanford,cb_stanford_26
after,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_34
after,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,TRUE,,,cb_stanford,cb_stanford_54
after,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,cb_stanford,cb_stanford_2
after,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,,TRUE,heart,TRUE,,,cb_stanford,cb_stanford_4
after,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_6
after,TRUE,,,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_8
after,,TRUE,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,cb_stanford,cb_stanford_16
after,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,TRUE,,,TRUE,,,cb_stanford,cb_stanford_18
after,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,superhero cape,TRUE,,,cb_stanford,cb_stanford_20
after,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_22
after,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,,cb_stanford,cb_stanford_24
after,TRUE,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_28
after,TRUE,,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,TRUE,,,TRUE,,,cb_stanford,cb_stanford_30
after,TRUE,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_32
after,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,cb_stanford,cb_stanford_36
after,TRUE,,,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_38
after,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_40
after,TRUE,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_42
after,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,TRUE,superhero cape,TRUE,,,cb_stanford,cb_stanford_44
after,,TRUE,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,dance,TRUE,,,cb_stanford,cb_stanford_46
after,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,cb_stanford,cb_stanford_48
after,TRUE,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,superhero cape,TRUE,,,cb_stanford,cb_stanford_50
after,,TRUE,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_52
after,TRUE,,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_56
after,TRUE,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,cb_stanford,cb_stanford_58
after,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_60
after,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,cb_stanford,cb_stanford_62
after,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,cb_stanford,cb_stanford_64
after,TRUE,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_66
after,TRUE,,,,TRUE,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,cb_stanford,cb_stanford_68
after,,TRUE,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_70
after,TRUE,,,,TRUE,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_72
after,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_74
after,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,torreador's cape,TRUE,,,cb_stanford,cb_stanford_76
after,TRUE,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,TRUE,superhero cape,TRUE,,,cb_stanford,cb_stanford_78
after,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,cb_stanford,cb_stanford_80
after,TRUE,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,cb_stanford,cb_stanford_82
after,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_84
after,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,cb_stanford,cb_stanford_86
after,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_88
after,,TRUE,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,cb_stanford,cb_stanford_90
after,TRUE,,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_92
after,TRUE,,,,TRUE,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_94
after,TRUE,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_96
after,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_98
after,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,TRUE,superhero cape,TRUE,,,cb_stanford,cb_stanford_100
after,,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,cb_stanford,cb_stanford_102
before,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,,,,TRUE,handcuffs,,TRUE,,cb_stanford,cb_stanford_9
before,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,TRUE,,cb_stanford,cb_stanford_13
before,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE,,,,,,TRUE,,,TRUE,TRUE,,,,TRUE,TRUE,academic_robes,,TRUE,,cb_stanford,cb_stanford_17
before,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,TRUE,,cb_stanford,cb_stanford_33
before,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,cb_stanford,cb_stanford_35
